currentid   ICAO_type

2-AKOP      AC11            
2-ANLD      PA34            
2-AZFR      C401            
2-BOYS      AC11            
2-CYFR      S22T            
2-DEAL      PA32            
2-DOGZ      DA62            
2-EGJB      SR22            
2-ELLY      C206            
2-FFLY      S22T            
2-FUNN      P32R            
2-GALA      PA31            
2-GOLD      P28B            
2-GOOD      DA62            
2-IMMN      DV20            
2-KNIL      J3              
2-KOOL      P28A            
2-LAND      AC11            
2-LOOK      P46T            
2-LOVE      BE36            
2-MLBU      PA46            
2-MMWD      C185            
2-OSPR      PA31            
2-PETE      PA32            
2-SALE      DA62            
2-SING      SR22            
2-SIRI      SR20            
2-TESI      DA40            
2-TOBI      S22T            
2-WIDE      DA62            
3A-MAS      BALL            
3A-MCB      BALL            
3A-MCL      P32R            
3A-MCO      BALL            
3A-MEV      S22T            
3A-MKN      BALL            
3A-MLM      TB20            
3A-MPV      GLID            
3A-MTY      E300            
3A-MVB      C152            
3A-MYP      DA50            
3A-UEU      EFOX            
3A-UJL      PIVI            
3A-ULM      SVNH            
3A-UMM      RBEL            
3A-USS      ULAC            
MC-ABB      N120            
3B-         ULAC            
3B-MAD      SKRA            
3B-MCG      C206            
3B-NAM      BALL            
3B-NAN      BALL            
3B-SDA      C182            
3B-WWA      XAIR            
3B-WWC      FK9             
3B-WWD      SVNH            
3B-WWE      KR30            
3B-WWF      XAIR            
3B-WWL      TL30            
3C-DWY      C402            
3C-JJE      PA27            
3D-MLD      ULAC            
3D-         PA36            
3D-EDC      ULAC            
3D-EUM      BE23            
3D-JAV      P28A            
3D-KWD      PA36            
3D-MAR      ULAC            
3D-SAB      SS2P            
3D-SFA      P28A            
3D-SFB      P28A            
3X-GVC      PA25            
3X-JGR      C150            
FAG-LAN     TTRS            
FAG-LAP     TTRS            
191         TTRS            
249         TTRS            
292         TTRS            
4K-         BALL            
4K-         BALL            
4K-AZ75     C172            
701 Black   MF17            
702 Black   MF17            
703 Black   MF17            
704 Black   MF17            
705 Black   MF17            
706 Black   MF17            
707 Black   MF17            
708 Black   MF17            
709 Black   MF17            
710 Black   MF17            
4L-         BALL            
4L-ANA      AP22            
4L-BAA      BALL            
4L-BAB      BALL            
4L-BAD      BALL            
4L-BAF      BALL            
4L-BAH      BALL            
4L-BAV      BALL            
4L-BMK      AP22            
4L-DAT      LX32            
4L-DSA      LX32            
4L-DSN      M7              
4L-DVT      P208            
4L-GAU      AP22            
4L-JSA      LX32            
4L-NDK      M7              
4L-RSA      LX32            
4L-SDD      AP22            
4L-SER      SIRA            
4L-SGI      AP22            
4L-SSU      P06T            
4L-TOK      C152            
4L-TOM      P208            
4L-UDB      C206            
4L-ULB      AP20            
4L-ULG      AP22            
4L-ULS      AP22            
4L-USA      C182            
4L-GFB01    YK55            
98 Yellow   YK52            
4O-4228     GLID            
4O-BHL      BE60            
4O-BLA      GLID            
4O-BRO      C421            
4O-BRR      M18             
4O-BRS      M18             
4O-DIA      GLID            
4O-DIB      GLID            
4O-DIY      GLID            
4O-DJR      UT75            
4O-EAA      AT8T            
4O-EAB      AT8T            
4O-EAC      AT8T            
4O-EAD      AT8T            
4O-GRD      LA4             
4O-JAZ      PARA            
4O-OAI      BALL            
4O-VUK      C172            
4R-ACE      PA34            
4R-ACJ      C152            
4R-ACV      C152            
4R-ASE      PA38            
4R-ASJ      PA38            
4R-BLN      BALL            
4R-DAD      C152            
4R-DLJ      C152            
4R-DOM      C152            
4R-DRA      C152            
4R-DRM      C172            
4R-ELM      ULAC            
4R-ENC      PA34            
4R-FAB      C152            
4R-FSA      C172            
4R-HRA      C72R            
4R-ISN      BALL            
4R-KKP      C172            
4R-LUV      C182            
4R-LWB      C152            
4R-LWC      C152            
4R-LWR      C152            
4R-MDA      C152            
4R-MDB      C152            
4R-MDC      C152            
4R-MDD      C172            
4R-MDE      P28A            
4R-MDF      P28A            
4R-MDG      P28A            
4R-NVY      C310            
4R-OSY      BALL            
4R-RPA      C152            
4R-RPG      C150            
4R-RSW      C172            
4R-SAS      PA34            
4R-SAY      C152            
4R-SAZ      C152            
4R-SJA      PA34            
4R-SRD      GA8             
4R-ULR      BALL            
VP-CIN      PA31            
SBT-150     C150            
SBT-151     C150            
SBT-152     C150            
SBT-153     C150            
SBT-154     C150            
SBT-155     C150            
4W-AAC      C207            
4X-AAN      DH82            
4X-AAP      J3              
4X-ADV      LNC2            
4X-AFA      AT8T            
4X-AFB      SS2P            
4X-AFC      SS2P            
4X-AFE      SS2P            
4X-AFF      AT8T            
4X-AFG      AT8T            
4X-AFH      AT8T            
4X-AFJ      AT8T            
4X-AFK      AT8T            
4X-AFL      AT8T            
4X-AFO      SS2T            
4X-AFS      AT8T            
4X-AFT      AT8T            
4X-AFU      AT8T            
4X-AFV      AT8T            
4X-AFW      AT8T            
4X-AFX      AT8T            
4X-AFY      AT8T            
4X-AFZ      J3              
4X-AIU      C172            
4X-AIW      C152            
4X-AJC      PA18            
4X-AJE      PA18            
4X-AJZ      PA18            
