currentid   ICAO_type

12/02/2026  C208            
2-ANJA      BE20            
2-COOL      P180            
2-DITO      P46T            
2-FPLF      B350            
2-PTXC      TBM7            
2-REDY      TBM9            
2-RIDE      TBM9            
2-RUFF      KODI            
2-TBMI      TBM9            
2-WKTJ      B350            
2-WKTK      BE20            
2-WKTN      BE20            
2-WKTP      B350            
2-WKTR      BE20            
3A-MIG      PC12            
3B-         BE20            
3B-SKY      BE20            
MP-CG-2     BN2T            
3X-GGK      BE9L            
4R-CAF      C208            
4R-CAG      C208            
4R-DPA      C208            
SMR-845     B350            
SMR-843     BE20            
SMR-844     B360            
SMR-2311    BE20            
4X-CBF      PAY3            
4X-CIC      PAY3            
4X-CLM      B350            
4X-CME      PAY3            
4X-CSX      C208            
4X-CXP      PC12            
4X-CZE      C208            
4X-DAN      P750            
501         BE20            
504         BE20            
507         BE20            
510         BE20            
622         BE20            
625         BE20            
629         BE20            
633         BE20            
636         BE20            
703         BE20            
709         BE20            
711         BE20            
714         BE20            
719         BE20            
721         BE20            
730         BE20            
735         BE20            
842         BE20            
844         BE20            
848         BE20            
856         BE20            
859         BE20            
5A-DDT      BE20            
5A-DDY      BE20            
5A-DKW      F406            
5A-DUA      BE20            
5A-GHV      BE30            
5A-LEX      BE20            
5A-MIS      B350            
5B-CLY      P750            
5B-JBO      P180            
5H-         C208            
5H-AAA      C208            
5H-AAC      C208            
5H-AAE      C208            
5H-AAF      C208            
5H-AAG      C208            
5H-AAH      C208            
5H-AAJ      C208            
5H-AAK      C208            
5H-AAL      C208            
5H-AAN      C208            
5H-AAP      C208            
5H-AAQ      C208            
5H-AAU      C208            
5H-AAV      C208            
5H-AAX      C208            
5H-AAY      C208            
5H-AAZ      C208            
5H-ABA      C208            
5H-AHJ      PC12            
5H-AIR      C208            
5H-AJK      C208            
5H-ALO      C208            
5H-AMH      C208            
5H-AMT      B260            
5H-AZH      C208            
5H-BAT      C208            
5H-BEE      C208            
5H-BIL      C208            
5H-BYO      C208            
5H-CAM      BN2P            
5H-CAT      C208            
5H-CDL      C208            
5H-CGZ      C208            
5H-CTJ      C208            
5H-DJS      B350            
5H-DTS      C208            
5H-EWA      C208            
5H-FAB      PC12            
5H-FAR      C208            
5H-FIA      C208            
5H-FLF      C208            
5H-FLS      C208            
5H-FOX      C208            
5H-FZA      C208            
5H-GAS      C208            
5H-GEN      C208            
5H-GUS      C208            
5H-IKI      C208            
5H-JAM      PC12            
